Packet Sniffer Output
Started on: 2024-12-03 12:54:12.443695
============================================================
Active Filters:
============================================================
Source              Destination         Protocol  Info                          Latency   
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
192.168.2.29        104.18.9.50         TCP       61314 -> 443                  3.793820s
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
192.168.2.29        104.18.9.50         TCP       61314 -> 443                  2.117575s
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
192.168.2.29        104.18.9.50         TCP       61314 -> 443                  2.365960s
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
192.168.2.29        104.18.9.50         TCP       61314 -> 443                  2.459481s
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
192.168.2.29        104.18.9.50         TCP       61314 -> 443                  2.690948s
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
192.168.2.29        104.18.9.50         TCP       61314 -> 443                  2.753559s
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
192.168.2.29        104.18.9.50         TCP       61314 -> 443                  2.951437s
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
192.168.2.29        104.18.9.50         TCP       61314 -> 443                  3.264228s
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
192.168.2.29        104.18.9.50         TCP       61314 -> 443                  3.806558s
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
192.168.2.29        104.18.9.50         TCP       61314 -> 443                  2.097251s
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
192.168.2.29        104.18.9.50         TCP       61314 -> 443                  2.175848s
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
192.168.2.29        104.18.9.50         TCP       61314 -> 443                  2.755135s
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
192.168.2.29        104.18.9.50         TCP       61314 -> 443                  2.410133s
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
192.168.2.29        104.18.9.50         TCP       61314 -> 443                  3.391319s
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
192.168.2.29        104.18.9.50         TCP       61314 -> 443                  3.732655s
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
192.168.2.29        104.18.9.50         TCP       61314 -> 443                  1.976614s
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
192.168.2.29        104.18.9.50         TCP       61314 -> 443                  2.768474s
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
192.168.2.29        104.18.9.50         TCP       61314 -> 443                  3.582262s
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
104.18.9.50         192.168.2.29        TCP       443 -> 61314                  N/A
